,speechiness,tempo
4Fpq4QkR06QRDkujBUk0JY,0.033,138.389
5x5AACQgT2yK4VWwNn1bjO,0.0467,93.716
5IcMce4p9SbPwWeN4g4Oip,0.0361,99.494
6cWlmDC8vU2WOMEID6ZL5K,0.0321,175.797
3DTy1olOsyxfLmgcym1PRC,0.356,83.212
10vkYRKw6Jjr7try1ir50G,0.0391,97.964
1udac3KKzxMxaHnIATDrVS,0.0458,144.089
6OVDdIF1LyY36sXL5xGCSR,0.325,140.046
29Od8h2a4HZyD0PZ8SkBo6,0.0636,186.093
4f0nrYwxhAmZD1IJj3A5qH,0.0292,129.98
47Sz3TWSgXBtcytDs1MxGl,0.0588,121.964
1o2DMB5ZGoKV767eMx8bPf,0.0254,101.515
2ZBfTcQM9S3yTLKhHrvCnQ,0.0744,112.965
4noxJLgA8ysi2AvBUX5R7S,0.14,80.032
1pjATX7sbd6Y4jMVqIvzHk,0.0317,77.995
0do3xwIYms6XJekFtagoeP,0.0376,175.928
2KYyhbWmfbW4z8eMhFzme4,0.0448,111.707
7v1b3qExlTFrpFWrtcnUpE,0.0419,130.276
0QpYkajexWrB0P3TWvkHlm,0.197,125.007
75l4PoXeGCOdrqXGaRtAOw,0.134,100.88
53NqwMK7Q40vc1l1Ntkuz4,0.102,129.925
5sEvMPq7oGdohcp6CZCD9p,0.0324,146.771
69ku805AjIcFQh0IfkGohf,0.0356,133.402
5KryOu1F1cMiNB9XCgXaXi,0.281,149.563
2mUNPeRl81MwJpy40yqjED,0.0361,119.642
2Ep5yZhBqHfwg0Lj4BlNKb,0.115,150.003
4MeDnO5yA2Zi6IMlVApRci,0.178,104.999
5iYoNasLiEiinDUAkyPjyY,0.0358,151.957
2GHCGJ8LSmSy3GDnGwPssh,0.222,92.982
0rpwb2kLgS6KAZsostOj1O,0.0289,141.804
0tDC3KJPPu5eonGTtCURpq,0.0367,122.002
7y9dOOkTIQJhii7DOGdA2Z,0.0361,83.697
5TLA7O0ogTqwZHbS3ERabw,0.0358,140.156
28Ity8iD8yajjIi58syN83,0.0367,153.924
3rjM7GhxdVq1YySsHBs21i,0.0625,76.998
2TrzgfBaSP387EEFDgG4FW,0.119,126.047
0ef0d6MHxCRXCm0g1cJ0jD,0.148,136.997
0ZGLuduCPjgWY1n85ykgMe,0.0389,122.201
0o9ivTBX7mjTnaUYF4Gk6t,0.0285,103.925
3MUr32NXC2wO7v5iFrluiC,0.0476,108.001
2zH8blq2DmO9c8305A2iFB,0.0507,127.488
1i6N76fftMZhijOzFQ5ZtL,0.0613,123.118
7aXEMLMhSOTYTCtaJJqBES,0.129,132.96
4YwLagaVWaegNK7RsUh1at,0.0422,186.239
1A0I5aiVZRwecRlbQcweBh,0.0248,125.729
3eK1hMiiVBh1MogbrcyWSl,0.053,75.993
34MRi5GRWHFUa731JBxFEl,0.296,99.987
2rqbwNN7tG0FnxZ7Xp4mOA,0.0429,113.947
2biG396b4oY4gHJJRtjUIo,0.197,175.982
7pB1HHxm6GD8qy52C0xD5p,0.0476,110.017
1cKu6R5BVZxLRjRb0vcRET,0.307,106.959
3uewgGxACwca8iwi2ZVwVT,0.387,139.946
6DAr6aJZvFdIRPPPWuK9UL,0.0296,128.037
02MdksRk96YQj2iTN7aCgf,0.0524,100.158
5TzHFsJFNEcnhPUqp5exYc,0.0367,90.341
4f3nDjgqXurMryYBSp0TZD,0.101,182.058
3ZCQtXq0rYdRjkZHfbGk6c,0.0308,131.358
44KCu0cY5QnVqtQr6JWI4P,0.0334,74.782
77Jo0LLt7KmCshe4WOazYx,0.0593,128.035
5Z5DwppDHSxfEwkmCCSV6E,0.0283,83.493
5kmOA4GG5o3lg7kaFPDfc8,0.249,111.999
2awizf15wPZXElxgWb92D9,0.0451,130.044
1jwTbXQa3GJWgBCNxxuL0g,0.0282,75.897
5v7Eh9qFbUPcjjF7xbLB7l,0.0295,192.052
3Lfiu5sZ4M4B6JaKMBc0FU,0.187,99.975
4tuhE01Hn5881RVljxwNmi,0.27,144.232
1LomM3L6atrf79ZL7nHDp4,0.341,128.015
14g9HVl9MvtShsGsWZXkls,0.0466,124.99
5YasESzSXVLGP2xZumVE4w,0.134,136.885
6CdkAjZAHPYkV6C9wjMi0L,0.0823,91.017
5z1T8M153gyxX6IKJemYX7,0.0269,97.54
5ec9KeSKipgdRvQC7hc7f6,0.324,139.78
0XgW08bDsX2vazpnHXeDQn,0.42,85.408
1ODoXFTC06Gts1blnAS3h4,0.0355,91.105
4dja4sisHZNee32Co0udGl,0.0394,79.744
6G8AvALJn3icFeT8ta5R7m,0.0439,106.721
4Hff1IjRbLGeLgFgxvHflk,0.0372,120.264
0XJDfLHO7C6b0GpjeB5mpu,0.0636,144.968
1IuCtauBIQa7VmpXNiXDks,0.0294,120.475
4GjD33yTih7RqvGkH9C9wO,0.0342,100.064
2HzfRSfCogBSsgW2CckVA2,0.208,82.914
6eGc0LhWD5oyIxzhN2e42X,0.327,144.989
59Yb6w8DywcHViQUsd85Go,0.0409,134.023
6HFL5qp0vYJGiq8OiSTuTb,0.0565,82.916
1cnA8Zf6McVyoWTr8xf0Ml,0.0631,177.495
28OkLLntKaxV9Fxk79sQkD,0.109,95.021
7Ca88RFeeUu4Cn52sFxobX,0.0471,88.033
28r8mD037GEBPG5a65YdDQ,0.25,164.029
4Okwr0mSxiEoSdtXx466V0,0.187,118.778
1XPta4VLT78HQnVFd1hlsK,0.0265,82.955
3rFflWioxEsaGXVVfEGVtA,0.598,79.837
7D3zhmFnxJSgI7cvkXan4l,0.495,81.164
5IxXl4qLDoh16PJ5E7lnql,0.0657,131.015
3cOT8vd89VWX2ivf2Ao1D1,0.0345,152.37
0tBBihoEWiWKqsO5ZlCbwS,0.0524,137.915
62ke5zFUJN6RvtXZgVH0F8,0.0818,90.99
08c3wmdjKSjxTJY9cHSts7,0.0319,125.831
0bbrL72MhIRekEi6w3IiKh,0.0489,130.933
3uWRW1H8SfOOdMKQ5Bgxk9,0.0326,130.021
6ZA3Q8Dj5BrnmOsT300DCh,0.19,144.07
36AvNQ9Df0yRd471f77MJo,0.0359,122.1
1hGWF7SI39kFnuj3qh5aT1,0.0389,86.191
35TtHXGkK3zL9XDm2zvd4B,0.158,114.005
5f5KGCBUtnR3dTSdNfRcZG,0.0699,100.046
0Ad93Ruu1wGsmwOKa3at9f,0.0292,130.239
4w4eer52fj2QiDJRP9c3D2,0.169,120.226
0BKVFVPPUeOpTEPKSfqljz,0.0296,87.196
5ubqSAc9LxUS2CsMHcA4kF,0.0358,91.17
1GqfuGDmnaeoAYA35Knwgh,0.0504,186.401
1fpfZyi25WoZ7vAmQfXXTA,0.0455,149.789
7furCGpHlxNFNsybOVBlGX,0.0541,120.057
4rp9YObc6Q5xc6X1S8c7m9,0.0431,93.261
5UWB4UcasxL1TFZiAXegAw,0.0283,125.042
0khnsS3vcqT6qngEhZCk4c,0.121,153.763
